,h.1,h.2,h.3,ngtv_h.1,ngtv_h.2,ngtv_h.3
2015-01-26,0.9028070785569807,0.9088220509748541,0.9147709976130717,-0.9028070785569807,-0.9088220509748541,-0.9147709976130717
2015-01-27,1.0001363733491944,1.0050622149722648,1.009933909113906,-1.0001363733491944,-1.0050622149722648,-1.009933909113906
2015-01-28,1.0902723203497915,1.0941767199033143,1.098038098643444,-1.0902723203497915,-1.0941767199033143,-1.098038098643444
2015-01-29,1.0697320566516548,1.0738930680273746,1.0780083785892522,-1.0697320566516548,-1.0738930680273746,-1.0780083785892522
2015-01-30,1.1410780104631573,1.144487019483344,1.1478586801564028,-1.1410780104631573,-1.144487019483344,-1.1478586801564028
2015-02-02,1.1804231492836494,1.1833914188776682,1.1863271457144988,-1.1804231492836494,-1.1833914188776682,-1.1863271457144988
2015-02-03,1.2506991913553895,1.2529252395324302,1.2551269287026954,-1.2506991913553895,-1.2529252395324302,-1.2551269287026954
2015-02-04,1.1617102199923095,1.1649254991532854,1.1681056184033414,-1.1617102199923095,-1.1649254991532854,-1.1681056184033414
2015-02-05,1.1468144841635255,1.15022029983163,1.1535889215854873,-1.1468144841635255,-1.15022029983163,-1.1535889215854873
2015-02-06,1.0620294312922536,1.0663267063578918,1.0705769637963858,-1.0620294312922536,-1.0663267063578918,-1.0705769637963858
2015-02-09,0.9923716733077083,0.9974255911914696,1.002424180688914,-0.9923716733077083,-0.9974255911914696,-1.002424180688914
2015-02-10,1.000560799279647,1.0054949707380803,1.0103750023394897,-1.000560799279647,-1.0054949707380803,-1.0103750023394897
2015-02-11,0.917060825275871,0.9228889060039591,0.9286528989329156,-0.917060825275871,-0.9228889060039591,-0.9286528989329156
2015-02-12,0.9152978466284819,0.9211473708315634,0.9269325696886445,-0.9152978466284819,-0.9211473708315634,-0.9269325696886445
2015-02-13,0.8510913914265307,0.8576255315447606,0.8640876134752347,-0.8510913914265307,-0.8576255315447606,-0.8640876134752347
2015-02-17,0.7832655501693943,0.7905477150619524,0.797749536745737,-0.7832655501693943,-0.7905477150619524,-0.797749536745737
2015-02-18,0.7216454014203774,0.7295948630639236,0.7374563888105626,-0.7216454014203774,-0.7295948630639236,-0.7374563888105626
2015-02-19,0.6676646868286066,0.6762030255734761,0.6846466200254071,-0.6676646868286066,-0.6762030255734761,-0.6846466200254071
2015-02-20,0.6444251752165736,0.6532177519823384,0.6619124714268368,-0.6444251752165736,-0.6532177519823384,-0.6619124714268368
2015-02-23,0.5962831328782757,0.6056139669936713,0.6148406349934841,-0.5962831328782757,-0.6056139669936713,-0.6148406349934841
2015-02-24,0.5567790952745094,0.5665565230878669,0.5762246016160295,-0.5567790952745094,-0.5665565230878669,-0.5762246016160295
2015-02-25,0.5180515862082288,0.5282709322177835,0.5383756484926124,-0.5180515862082288,-0.5282709322177835,-0.5383756484926124
2015-02-26,0.4851929132885032,0.495794541160143,0.5062769116474661,-0.4851929132885032,-0.495794541160143,-0.5062769116474661
2015-02-27,0.46274983783606516,0.47361939154057286,0.4843663550424004,-0.46274983783606516,-0.47361939154057286,-0.4843663550424004
2015-03-02,0.4595712170434455,0.4704933426756375,0.4812920057647009,-0.4595712170434455,-0.4704933426756375,-0.4812920057647009
