,h.1,h.2,h.3,ngtv_h.1,ngtv_h.2,ngtv_h.3,sqrt_h.1,sqrt_h.2,sqrt_h.3,sqrt_ngtv_h.1,sqrt_ngtv_h.2,sqrt_ngtv_h.3
1999-05-17,1.1641420200672141,1.1586910291728483,1.1532655621268306,-1.1641420200672141,-1.1586910291728483,-1.1532655621268306,1.0789541325131546,1.076425115450605,1.073902026316568,-1.0789541325131546,-1.076425115450605,-1.073902026316568
1999-05-18,1.3270737635574341,1.324039917914298,1.3210362235989628,-1.3270737635574341,-1.324039917914298,-1.3210362235989628,1.151986876469274,1.1506693347414356,1.1493633992776013,-1.151986876469274,-1.1506693347414356,-1.1493633992776013
1999-05-19,1.2474079352462337,1.2425844156129864,1.2377795477900448,-1.2474079352462337,-1.2425844156129864,-1.2377795477900448,1.1168741805799942,1.114712705414712,1.112555413357036,-1.1168741805799942,-1.114712705414712,-1.112555413357036
1999-05-20,1.2114559245456242,1.206448555769045,1.2014618842526974,-1.2114559245456242,-1.206448555769045,-1.2014618842526974,1.1006615849322734,1.09838452090743,1.0961121677331647,-1.1006615849322734,-1.09838452090743,-1.0961121677331647
1999-05-21,1.1841787667074943,1.1790623094962278,1.173967958923512,-1.1841787667074943,-1.1790623094962278,-1.173967958923512,1.0881997825342065,1.085846356302874,1.083498019805995,-1.0881997825342065,-1.085846356302874,-1.083498019805995
1999-05-24,1.148401128738403,1.1431287499053386,1.137880576950439,-1.148401128738403,-1.1431287499053386,-1.137880576950439,1.071634792612858,1.069171992667849,1.0667148526904644,-1.071634792612858,-1.069171992667849,-1.0667148526904644
1999-05-25,1.122341750645197,1.116976589714478,1.1116370760804883,-1.122341750645197,-1.116976589714478,-1.1116370760804883,1.0594063199005361,1.056871132028157,1.054342010962519,-1.0594063199005361,-1.056871132028157,-1.054342010962519
1999-05-26,1.1873104776609216,1.1823384807152764,1.1773873046427743,-1.1873104776609216,-1.1823384807152764,-1.1773873046427743,1.0896377736022744,1.0873538893641188,1.0850747921884345,-1.0896377736022744,-1.0873538893641188,-1.0850747921884345
1999-05-27,1.2536533425052152,1.2497404456866767,1.2458523430814261,-1.2536533425052152,-1.2497404456866767,-1.2458523430814261,1.119666621144533,1.1179179065059637,1.1161775589400758,-1.119666621144533,-1.1179179065059637,-1.1161775589400758
1999-05-28,1.3211423383258105,1.3189633857537864,1.3168139125263856,-1.3211423383258105,-1.3189633857537864,-1.3168139125263856,1.1494095607423016,1.1484613122581824,1.1475251250087666,-1.1494095607423016,-1.1484613122581824,-1.1475251250087666
